pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
3/23/2019 9:46,3/23/2019 9:52,1,1.1,6.5,1.95,0,11.75,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan
3/20/2019 15:24,3/20/2019 15:25,2,0.2,3,1.26,0,7.56,yellow,credit card,East Chelsea,East Chelsea,Manhattan,Manhattan
3/15/2019 18:02,3/15/2019 18:31,2,5.82,22.5,5.36,0,32.16,yellow,credit card,Clinton East,Financial District North,Manhattan,Manhattan
3/21/2019 18:41,3/21/2019 18:46,1,1,5.5,2.9,0,12.7,yellow,credit card,Lenox Hill East,Upper East Side South,Manhattan,Manhattan
3/31/2019 21:35,3/31/2019 21:49,2,2.94,12.5,3.26,0,19.56,yellow,credit card,West Village,Clinton East,Manhattan,Manhattan
3/12/2019 23:25,3/12/2019 23:33,1,1.1,7,2.16,0,12.96,yellow,credit card,Lower East Side,Two Bridges/Seward Park,Manhattan,Manhattan
3/8/2019 23:25,3/8/2019 23:34,1,1.22,7.5,0.56,0,11.86,yellow,credit card,Little Italy/NoLiTa,Financial District North,Manhattan,Manhattan
3/13/2019 10:03,3/13/2019 10:44,4,6.8,29.5,4.95,0,37.75,yellow,credit card,LaGuardia Airport,Lenox Hill West,Queens,Manhattan
3/3/2019 15:28,3/3/2019 15:34,1,1.06,6,2.79,0,12.09,yellow,credit card,East Village,Gramercy,Manhattan,Manhattan
3/2/2019 12:09,3/2/2019 12:34,1,9.7,29,8.05,0,40.35,yellow,credit card,Times Sq/Theatre District,LaGuardia Airport,Manhattan,Queens
3/7/2019 18:41,3/7/2019 19:00,1,1.7,13,2,0,19.3,yellow,credit card,UN/Turtle Bay South,Midtown North,Manhattan,Manhattan
3/9/2019 2:52,3/9/2019 2:58,1,1.98,7.5,2.26,0,13.56,yellow,credit card,East Village,Midtown East,Manhattan,Manhattan
3/17/2019 14:39,3/17/2019 14:42,1,0.36,3.5,0,0,6.8,yellow,cash,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
3/12/2019 21:56,3/12/2019 21:59,1,0.49,4,0,0,7.8,yellow,cash,Clinton East,Midtown North,Manhattan,Manhattan
3/25/2019 9:32,3/25/2019 9:37,5,0.7,5,1.66,0,9.96,yellow,credit card,Garment District,Times Sq/Theatre District,Manhattan,Manhattan
3/12/2019 17:44,3/12/2019 17:47,3,0.4,4,0,0,8.3,yellow,cash,Midtown East,Sutton Place/Turtle Bay North,Manhattan,Manhattan
3/14/2019 18:24,3/14/2019 18:38,3,1.16,9.5,2.76,0,16.56,yellow,credit card,Upper East Side North,Central Park,Manhattan,Manhattan
3/23/2019 22:47,3/23/2019 22:53,1,1.6,7.5,2.26,0,13.56,yellow,credit card,Yorkville West,Upper West Side South,Manhattan,Manhattan
3/26/2019 18:56,3/26/2019 19:10,0,2.1,11.5,3.3,0,16.6,yellow,credit card,Manhattan Valley,Central Harlem,Manhattan,Manhattan
3/5/2019 21:47,3/5/2019 21:57,1,1.71,9,2.56,0,15.36,yellow,credit card,Murray Hill,Flatiron,Manhattan,Manhattan
3/28/2019 15:24,3/28/2019 15:35,1,1.01,8.5,1.18,0,12.98,yellow,credit card,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
3/1/2019 22:48,3/1/2019 22:50,1,0.42,3.5,2,0,9.3,yellow,credit card,Clinton East,Lincoln Square East,Manhattan,Manhattan
3/8/2019 13:49,3/8/2019 13:53,1,0.65,5,1.66,0,9.96,yellow,credit card,Upper West Side South,Lincoln Square West,Manhattan,Manhattan
3/11/2019 17:54,3/11/2019 18:03,2,1.1,7.5,2.35,0,14.15,yellow,credit card,Yorkville West,Upper East Side South,Manhattan,Manhattan
3/11/2019 18:55,3/11/2019 19:19,1,5.09,20,0,0,24.3,yellow,cash,SoHo,Lenox Hill East,Manhattan,Manhattan
3/6/2019 22:13,3/6/2019 22:41,1,7.06,25,0,0,28.8,yellow,cash,Lincoln Square East,Central Harlem North,Manhattan,Manhattan
3/26/2019 23:02,3/26/2019 23:07,5,0.85,5,0,0,8.8,yellow,cash,Midtown North,Garment District,Manhattan,Manhattan
3/26/2019 23:21,3/26/2019 23:26,1,1.2,6,1.95,0,11.75,yellow,credit card,Upper East Side South,Upper West Side North,Manhattan,Manhattan
3/19/2019 18:23,3/19/2019 18:42,1,3.91,16,2,0,22.3,yellow,credit card,West Chelsea/Hudson Yards,Lower East Side,Manhattan,Manhattan
3/21/2019 18:33,3/21/2019 18:40,2,1.1,6.5,2.15,0,12.95,yellow,credit card,Murray Hill,East Village,Manhattan,Manhattan
3/11/2019 13:47,3/11/2019 14:03,1,2.03,11,0,0,14.3,yellow,cash,Little Italy/NoLiTa,Financial District South,Manhattan,Manhattan
3/25/2019 12:16,3/25/2019 12:37,1,2.63,13.5,0,0,16.8,yellow,cash,Lincoln Square East,Union Sq,Manhattan,Manhattan
3/25/2019 21:25,3/25/2019 21:28,3,0.97,5,1.32,0,10.12,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
3/10/2019 17:35,3/10/2019 17:38,1,0.3,4,1.45,0,8.75,yellow,credit card,Midtown South,Murray Hill,Manhattan,Manhattan
3/31/2019 21:01,3/31/2019 21:16,1,2.3,11.5,3.06,0,18.36,yellow,credit card,Meatpacking/West Village West,Alphabet City,Manhattan,Manhattan
3/28/2019 21:34,3/28/2019 22:14,1,13.1,41,5,5.76,55.56,yellow,credit card,Gramercy,Midwood,Manhattan,Brooklyn
3/1/2019 13:02,3/1/2019 13:14,1,1.97,9.5,2,0,14.8,yellow,credit card,Lenox Hill West,Upper East Side North,Manhattan,Manhattan
3/13/2019 9:30,3/13/2019 9:42,6,1.12,8.5,2.36,0,14.16,yellow,credit card,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan
3/16/2019 8:32,3/16/2019 8:53,1,4.38,17.5,2,0,20.3,yellow,credit card,LaGuardia Airport,Long Island City/Queens Plaza,Queens,Queens
3/27/2019 20:08,3/27/2019 20:18,1,1.97,8.5,2.46,0,14.76,yellow,credit card,TriBeCa/Civic Center,World Trade Center,Manhattan,Manhattan
3/29/2019 23:25,3/30/2019 0:17,1,13.8,46,9.95,0,59.75,yellow,credit card,Lincoln Square East,Flatbush/Ditmas Park,Manhattan,Brooklyn
3/25/2019 20:07,3/25/2019 20:28,0,5.8,20,4.75,0,28.55,yellow,credit card,Gramercy,Brooklyn Heights,Manhattan,Brooklyn
3/4/2019 14:54,3/4/2019 15:38,1,13.46,56.74,0,0,57.54,yellow,credit card,Upper West Side South,Cypress Hills,Manhattan,Brooklyn
3/18/2019 20:46,3/18/2019 21:08,6,5.13,19.5,5.82,0,29.12,yellow,credit card,Greenwich Village North,Upper West Side South,Manhattan,Manhattan
3/6/2019 8:50,3/6/2019 8:58,2,0.68,6,0,0,9.3,yellow,cash,Murray Hill,Midtown Center,Manhattan,Manhattan
3/30/2019 20:05,3/30/2019 20:11,2,1.5,7,2.16,0,12.96,yellow,credit card,TriBeCa/Civic Center,Meatpacking/West Village West,Manhattan,Manhattan
3/8/2019 14:51,3/8/2019 15:52,1,18.27,52,0,5.76,61.06,yellow,cash,JFK Airport,Midtown South,Queens,Manhattan
3/13/2019 12:26,3/13/2019 12:38,1,0.7,8.5,2.35,0,14.15,yellow,credit card,Midtown East,Times Sq/Theatre District,Manhattan,Manhattan
3/29/2019 23:31,3/29/2019 23:43,2,1.6,9,1,0,13.8,yellow,credit card,East Village,Meatpacking/West Village West,Manhattan,Manhattan
3/13/2019 11:25,3/13/2019 11:34,1,1.13,7.5,3.24,0,14.04,yellow,credit card,Penn Station/Madison Sq West,Times Sq/Theatre District,Manhattan,Manhattan
3/17/2019 12:50,3/17/2019 12:52,1,0.5,4,0,0,7.3,yellow,cash,West Village,Flatiron,Manhattan,Manhattan
3/10/2019 22:49,3/10/2019 22:55,1,1,6,3,0,12.8,yellow,credit card,Midtown North,Midtown Center,Manhattan,Manhattan
3/30/2019 13:33,3/30/2019 13:44,2,1.9,9,2.45,0,14.75,yellow,credit card,Upper East Side North,Midtown East,Manhattan,Manhattan
3/7/2019 15:53,3/7/2019 16:23,1,5,22.5,5.16,0,30.96,yellow,credit card,Upper East Side South,Greenwich Village North,Manhattan,Manhattan
3/8/2019 8:28,3/8/2019 8:34,1,0.84,6,1.86,0,11.16,yellow,credit card,East Chelsea,Penn Station/Madison Sq West,Manhattan,Manhattan
3/11/2019 21:47,3/11/2019 22:05,1,6.81,21.5,3,5.76,31.56,yellow,credit card,LaGuardia Airport,East Harlem North,Queens,Manhattan
3/14/2019 19:29,3/14/2019 19:33,2,0.5,4.5,1.75,0,10.55,yellow,credit card,Murray Hill,Murray Hill,Manhattan,Manhattan
3/8/2019 17:13,3/8/2019 17:30,1,1,10.5,3.7,0,18.5,yellow,credit card,Union Sq,Murray Hill,Manhattan,Manhattan
3/17/2019 19:01,3/17/2019 19:33,2,14.1,40,0,0,40.8,yellow,credit card,South Jamaica,Fort Greene,Queens,Brooklyn
3/20/2019 0:51,3/20/2019 0:57,5,1.99,7.5,0,0,11.3,yellow,cash,Times Sq/Theatre District,East Chelsea,Manhattan,Manhattan
3/5/2019 18:09,3/5/2019 18:21,1,1.12,8.5,2.56,0,15.36,yellow,credit card,Gramercy,Murray Hill,Manhattan,Manhattan
3/28/2019 19:23,3/28/2019 19:30,1,0.6,6,2.58,0,12.88,yellow,credit card,Gramercy,Union Sq,Manhattan,Manhattan
3/23/2019 0:52,3/23/2019 1:03,1,5.08,16,3.96,0,23.76,yellow,credit card,TriBeCa/Civic Center,Midtown East,Manhattan,Manhattan
3/11/2019 13:22,3/11/2019 13:26,1,0.62,4.5,0,0,7.8,yellow,cash,Murray Hill,Midtown Center,Manhattan,Manhattan
3/23/2019 1:40,3/23/2019 1:59,1,2.4,14,2,0,19.8,yellow,credit card,West Chelsea/Hudson Yards,Greenwich Village North,Manhattan,Manhattan
3/28/2019 23:00,3/28/2019 23:13,1,3.8,13.5,3.45,0,20.75,yellow,credit card,Midtown Center,Manhattan Valley,Manhattan,Manhattan
3/14/2019 21:54,3/14/2019 22:07,1,3.62,13,3.36,0,20.16,yellow,credit card,Midtown Center,Central Harlem,Manhattan,Manhattan
3/12/2019 12:21,3/12/2019 12:27,1,0.72,5.5,1.76,0,10.56,yellow,credit card,Sutton Place/Turtle Bay North,Upper East Side South,Manhattan,Manhattan
3/3/2019 20:12,3/3/2019 20:16,2,0.86,4.5,1.24,0,9.54,yellow,credit card,Lenox Hill East,Yorkville East,Manhattan,Manhattan
3/13/2019 12:40,3/13/2019 12:45,1,0.6,5.5,1.75,0,10.55,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan
3/31/2019 14:39,3/31/2019 14:44,4,0.35,5,0,0,8.3,yellow,cash,Clinton East,Times Sq/Theatre District,Manhattan,Manhattan
3/31/2019 14:47,3/31/2019 14:58,2,1.43,9.5,0,0,12.8,yellow,cash,Battery Park City,Little Italy/NoLiTa,Manhattan,Manhattan
3/21/2019 12:48,3/21/2019 13:03,1,1.59,10,1.3,0,14.6,yellow,credit card,East Chelsea,Meatpacking/West Village West,Manhattan,Manhattan
3/6/2019 18:12,3/6/2019 18:31,5,2.09,13.5,1.2,0,19,yellow,credit card,Lenox Hill East,Midtown Center,Manhattan,Manhattan
3/7/2019 21:45,3/7/2019 21:51,1,1.2,6.5,2.05,0,12.35,yellow,credit card,Midtown South,Flatiron,Manhattan,Manhattan
3/15/2019 14:53,3/15/2019 15:20,6,2.33,17,3.04,0,23.34,yellow,credit card,Lincoln Square West,Upper East Side North,Manhattan,Manhattan
3/26/2019 19:50,3/26/2019 20:00,1,1.27,7.5,3,0,14.8,yellow,credit card,Midtown East,Garment District,Manhattan,Manhattan
3/3/2019 2:31,3/3/2019 2:41,1,2.44,10,0,0,13.8,yellow,cash,Lower East Side,Midtown South,Manhattan,Manhattan
3/6/2019 13:48,3/6/2019 14:00,4,1.08,9,2.46,0,14.76,yellow,credit card,Greenwich Village North,Little Italy/NoLiTa,Manhattan,Manhattan
3/13/2019 11:54,3/13/2019 12:01,1,0.73,6,2.32,0,11.62,yellow,credit card,Times Sq/Theatre District,Garment District,Manhattan,Manhattan
3/16/2019 0:32,3/16/2019 0:40,3,1.66,7.5,0,0,8.8,yellow,cash,Morningside Heights,Manhattan Valley,Manhattan,Manhattan
3/2/2019 11:07,3/2/2019 11:14,1,1.39,7,0,0,10.3,yellow,cash,Little Italy/NoLiTa,Gramercy,Manhattan,Manhattan
3/14/2019 22:59,3/14/2019 23:04,2,0.53,5,2,0,10.8,yellow,credit card,Murray Hill,Murray Hill,Manhattan,Manhattan
3/15/2019 8:46,3/15/2019 9:03,1,3.33,14.5,0,0,17.8,yellow,cash,Battery Park City,Flatiron,Manhattan,Manhattan
3/4/2019 21:56,3/4/2019 21:58,2,0.37,3.5,0,0,7.3,yellow,cash,Kips Bay,Union Sq,Manhattan,Manhattan
3/21/2019 10:24,3/21/2019 10:30,2,0.4,5,2.08,0,10.38,yellow,credit card,Flatiron,East Chelsea,Manhattan,Manhattan
3/6/2019 5:11,3/6/2019 5:30,6,9.84,28.5,4,0,36.3,yellow,credit card,Lenox Hill West,LaGuardia Airport,Manhattan,Queens
3/11/2019 17:18,3/11/2019 18:27,1,24.63,87.5,17.86,0,107.16,yellow,credit card,LaGuardia Airport,Upper East Side North,Queens,Manhattan
3/17/2019 15:43,3/17/2019 15:51,1,1.67,8,2.26,0,13.56,yellow,credit card,Central Park,Sutton Place/Turtle Bay North,Manhattan,Manhattan
3/20/2019 20:17,3/20/2019 20:23,1,0.94,6,1.47,0,11.27,yellow,credit card,Murray Hill,Union Sq,Manhattan,Manhattan
3/14/2019 5:21,3/14/2019 5:49,1,17.85,52,12.21,5.76,73.27,yellow,credit card,JFK Airport,Greenwich Village North,Queens,Manhattan
3/14/2019 12:17,3/14/2019 12:38,1,2,14,3.46,0,20.76,yellow,credit card,Sutton Place/Turtle Bay North,Midtown South,Manhattan,Manhattan
3/6/2019 13:07,3/6/2019 13:14,1,0.6,5.5,0,0,8.8,yellow,credit card,Meatpacking/West Village West,Greenwich Village South,Manhattan,Manhattan
3/18/2019 15:16,3/18/2019 15:32,2,3.65,14.5,3.66,0,21.96,yellow,credit card,Financial District North,Cobble Hill,Manhattan,Brooklyn
3/19/2019 14:40,3/19/2019 14:59,3,1.8,12.5,2,0,17.8,yellow,credit card,Upper East Side North,Midtown East,Manhattan,Manhattan
3/21/2019 19:10,3/21/2019 19:19,1,0.8,7.5,2.35,0,14.15,yellow,credit card,Midtown South,Murray Hill,Manhattan,Manhattan
3/29/2019 15:58,3/29/2019 16:33,2,3.5,22,0,0,25.3,yellow,cash,East Chelsea,Sutton Place/Turtle Bay North,Manhattan,Manhattan
3/6/2019 13:26,3/6/2019 14:06,2,8.3,34,10,5.76,53.06,yellow,credit card,LaGuardia Airport,Midtown Center,Queens,Manhattan
3/9/2019 13:37,3/9/2019 13:47,1,1.69,8.5,0,0,11.8,yellow,cash,Central Park,Upper West Side South,Manhattan,Manhattan
3/28/2019 7:42,3/28/2019 7:45,1,0.6,4.5,1.55,0,9.35,yellow,credit card,Sutton Place/Turtle Bay North,Midtown East,Manhattan,Manhattan
3/14/2019 17:09,3/14/2019 17:29,1,1.7,13.5,4.45,0,22.25,yellow,credit card,Lincoln Square East,Sutton Place/Turtle Bay North,Manhattan,Manhattan
3/5/2019 12:07,3/5/2019 12:15,2,1.09,7,3,0,13.3,yellow,credit card,Sutton Place/Turtle Bay North,Upper East Side South,Manhattan,Manhattan
3/23/2019 19:37,3/23/2019 19:55,3,5.02,17.5,0,0,20.8,yellow,cash,East Harlem South,Gramercy,Manhattan,Manhattan
3/28/2019 20:25,3/28/2019 20:34,1,1.38,7.5,0,0,11.3,yellow,cash,Midtown South,Clinton East,Manhattan,Manhattan
3/16/2019 14:30,3/16/2019 14:35,1,1.1,6,1.85,0,11.15,yellow,credit card,TriBeCa/Civic Center,West Village,Manhattan,Manhattan
3/6/2019 18:30,3/6/2019 18:33,1,0.53,4.5,2.2,0,11,yellow,credit card,Hudson Sq,West Village,Manhattan,Manhattan
3/19/2019 14:01,3/19/2019 14:30,3,7.04,26,0,0,29.3,yellow,cash,Financial District South,Times Sq/Theatre District,Manhattan,Manhattan
3/1/2019 4:19,3/1/2019 4:23,1,0.84,5,0.5,0,9.3,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
3/7/2019 15:16,3/7/2019 15:41,1,2.54,16,2.9,0,22.2,yellow,credit card,Lincoln Square East,Upper East Side North,Manhattan,Manhattan
3/23/2019 18:38,3/23/2019 18:58,1,5.2,18.5,0,0,21.8,yellow,cash,Astoria,Upper West Side South,Queens,Manhattan
3/6/2019 19:08,3/6/2019 19:53,1,18.3,52,0,5.76,65.56,yellow,cash,JFK Airport,Times Sq/Theatre District,Queens,Manhattan
3/5/2019 13:35,3/5/2019 14:05,1,15.79,52,8,5.76,66.56,yellow,credit card,Long Island City/Hunters Point,JFK Airport,Queens,Queens
3/29/2019 20:48,3/29/2019 21:12,1,5.47,20,3.57,0,29.32,yellow,credit card,Long Island City/Hunters Point,Upper West Side South,Queens,Manhattan
3/1/2019 7:35,3/1/2019 7:44,1,2.4,9.5,2.55,0,15.35,yellow,credit card,Yorkville East,Midtown Center,Manhattan,Manhattan
3/4/2019 7:07,3/4/2019 7:27,1,4.1,16.5,1.98,0,21.78,yellow,credit card,Manhattan Valley,Midtown Center,Manhattan,Manhattan
3/16/2019 19:13,3/16/2019 19:42,1,6.13,24,0,0,27.3,yellow,cash,Union Sq,Astoria,Manhattan,Queens
3/29/2019 23:14,3/29/2019 23:20,2,0.7,6,0,0,9.8,yellow,cash,Upper East Side South,Midtown Center,Manhattan,Manhattan
3/28/2019 3:28,3/28/2019 3:35,1,0.88,6,0,0,9.8,yellow,cash,Clinton West,Clinton East,Manhattan,Manhattan
3/2/2019 17:09,3/2/2019 17:13,6,0.53,5,1,0,9.3,yellow,credit card,East Village,Union Sq,Manhattan,Manhattan
3/7/2019 20:10,3/7/2019 20:16,1,0.48,5.5,1.86,0,11.16,yellow,credit card,Clinton East,Clinton West,Manhattan,Manhattan
3/7/2019 21:47,3/7/2019 22:29,1,5.9,29,6.55,0,39.35,yellow,credit card,Penn Station/Madison Sq West,East Williamsburg,Manhattan,Brooklyn
3/26/2019 13:23,3/26/2019 13:33,1,1.6,8.5,2.95,0,14.75,yellow,credit card,Upper East Side South,Upper East Side North,Manhattan,Manhattan
3/9/2019 2:32,3/9/2019 2:41,1,1.9,8.5,2.46,0,14.76,yellow,credit card,Little Italy/NoLiTa,Kips Bay,Manhattan,Manhattan
3/17/2019 14:35,3/17/2019 14:50,1,3.86,14.5,0,0,17.8,yellow,cash,Yorkville East,Clinton West,Manhattan,Manhattan
3/6/2019 8:30,3/6/2019 8:46,1,1.47,10.5,1,0,14.8,yellow,credit card,Kips Bay,Midtown North,Manhattan,Manhattan
3/20/2019 8:06,3/20/2019 8:13,1,0.77,6,1.86,0,11.16,yellow,credit card,Stuy Town/Peter Cooper Village,Gramercy,Manhattan,Manhattan
3/12/2019 14:43,3/12/2019 14:56,1,1.1,9,1,0,13.3,yellow,credit card,Upper East Side South,Midtown Center,Manhattan,Manhattan
3/4/2019 15:45,3/4/2019 15:47,1,0.6,4,1.65,0,9.95,yellow,credit card,Upper West Side South,Lincoln Square East,Manhattan,Manhattan
3/10/2019 13:48,3/10/2019 14:26,1,6.3,27,7.58,0,37.88,yellow,credit card,Penn Station/Madison Sq West,Crown Heights North,Manhattan,Brooklyn
3/29/2019 20:08,3/29/2019 20:20,1,2.3,10,0,0,13.8,yellow,cash,Garment District,Lincoln Square West,Manhattan,Manhattan
3/6/2019 16:14,3/6/2019 16:18,6,0.64,5,1.36,0,8.16,yellow,credit card,Manhattan Valley,Morningside Heights,Manhattan,Manhattan
3/8/2019 17:35,3/8/2019 17:48,3,1.76,10,0,0,14.3,yellow,cash,Times Sq/Theatre District,Murray Hill,Manhattan,Manhattan
3/1/2019 7:18,3/1/2019 7:30,1,2.06,10,0,0,13.3,yellow,cash,Kips Bay,Lenox Hill East,Manhattan,Manhattan
3/27/2019 19:46,3/27/2019 20:03,6,3.29,14,2.5,0,20.8,yellow,credit card,Midtown Center,Central Park,Manhattan,Manhattan
3/16/2019 8:17,3/16/2019 8:36,1,10.11,29,5.96,0,35.76,yellow,credit card,Brooklyn Heights,LaGuardia Airport,Brooklyn,Queens
3/2/2019 10:39,3/2/2019 10:43,1,0.52,5,1.45,0,7.25,yellow,credit card,Manhattan Valley,Bloomingdale,Manhattan,Manhattan
3/5/2019 12:16,3/5/2019 12:23,3,0.7,6.5,2.9,0,12.7,yellow,credit card,Penn Station/Madison Sq West,West Chelsea/Hudson Yards,Manhattan,Manhattan
3/15/2019 0:05,3/15/2019 0:16,2,2.3,10,2.75,0,16.55,yellow,credit card,Times Sq/Theatre District,Gramercy,Manhattan,Manhattan
3/20/2019 17:49,3/20/2019 18:09,3,2.32,14,4.58,0,22.88,yellow,credit card,Times Sq/Theatre District,Upper East Side North,Manhattan,Manhattan
3/28/2019 18:32,3/28/2019 18:47,1,1.27,10.5,2.96,0,17.76,yellow,credit card,Union Sq,West Village,Manhattan,Manhattan
3/29/2019 10:52,3/29/2019 10:55,1,0.59,4,0.73,0,8.03,yellow,credit card,Kips Bay,Gramercy,Manhattan,Manhattan
3/2/2019 0:07,3/2/2019 0:10,1,0.44,4,0,0,7.8,yellow,cash,West Village,Meatpacking/West Village West,Manhattan,Manhattan
3/5/2019 23:52,3/6/2019 0:03,1,1.7,9.5,0,0,10.8,yellow,cash,Williamsburg (South Side),Bushwick North,Brooklyn,Brooklyn
3/14/2019 17:49,3/14/2019 18:19,2,3.4,19.5,0,0,23.8,yellow,cash,Union Sq,Lincoln Square West,Manhattan,Manhattan
3/24/2019 2:35,3/24/2019 2:42,1,2.4,8.5,2.46,0,14.76,yellow,credit card,Lenox Hill West,Kips Bay,Manhattan,Manhattan
3/26/2019 12:51,3/26/2019 12:57,1,0.93,5.5,1.76,0,10.56,yellow,credit card,Clinton East,East Chelsea,Manhattan,Manhattan
3/30/2019 23:37,3/30/2019 23:45,1,1,7,2.16,0,12.96,yellow,credit card,Union Sq,Penn Station/Madison Sq West,Manhattan,Manhattan
3/22/2019 23:17,3/22/2019 23:24,1,1.1,6.5,0.52,0,10.82,yellow,credit card,Lower East Side,East Village,Manhattan,Manhattan
3/30/2019 20:56,3/30/2019 21:10,2,1.2,9.5,2.65,0,15.95,yellow,credit card,Meatpacking/West Village West,East Village,Manhattan,Manhattan
3/13/2019 10:02,3/13/2019 10:15,1,1.75,10,1.5,0,14.8,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan
3/14/2019 13:38,3/14/2019 13:56,1,1.3,11.5,2,0,16.8,yellow,credit card,Flatiron,Clinton East,Manhattan,Manhattan
3/29/2019 8:17,3/29/2019 8:22,1,0.7,5.5,0,0,8.8,yellow,cash,East Chelsea,West Village,Manhattan,Manhattan
3/1/2019 7:00,3/1/2019 7:05,1,0.86,5,1.66,0,9.96,yellow,credit card,Sutton Place/Turtle Bay North,Midtown East,Manhattan,Manhattan
3/10/2019 7:57,3/10/2019 8:02,1,1,5.5,1.75,0,10.55,yellow,credit card,Penn Station/Madison Sq West,Clinton East,Manhattan,Manhattan
3/3/2019 18:15,3/3/2019 18:21,1,0.93,6,1.86,0,11.16,yellow,credit card,Greenwich Village North,East Village,Manhattan,Manhattan
3/15/2019 8:39,3/15/2019 8:48,1,1.32,7.5,1.5,0,12.3,yellow,credit card,Murray Hill,Midtown Center,Manhattan,Manhattan
3/20/2019 14:44,3/20/2019 15:54,3,17.1,52,8,0,63.3,yellow,credit card,Chinatown,JFK Airport,Manhattan,Queens
3/22/2019 12:46,3/22/2019 13:25,3,16.33,52,0,5.76,61.06,yellow,cash,Midtown East,JFK Airport,Manhattan,Queens
3/22/2019 16:47,3/22/2019 16:47,1,0.81,66,0,0,66.8,yellow,credit card,JFK Airport,JFK Airport,Queens,Queens
3/20/2019 20:08,3/20/2019 20:13,1,0.85,5,0,0,8.8,yellow,cash,Lenox Hill West,Sutton Place/Turtle Bay North,Manhattan,Manhattan
3/23/2019 16:03,3/23/2019 16:08,1,0.8,5.5,0,0,8.8,yellow,cash,West Village,TriBeCa/Civic Center,Manhattan,Manhattan
3/6/2019 23:08,3/6/2019 23:12,1,0.7,5,1.75,0,10.55,yellow,credit card,Clinton West,Times Sq/Theatre District,Manhattan,Manhattan
3/20/2019 12:19,3/20/2019 12:30,2,1.9,9.5,3.2,0,16,yellow,credit card,Upper East Side South,Lincoln Square East,Manhattan,Manhattan
3/31/2019 14:20,3/31/2019 14:27,2,1.1,7,1,0,11.3,yellow,credit card,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
3/26/2019 13:32,3/26/2019 13:55,2,2.11,15,0,0,18.3,yellow,cash,Financial District South,Lower East Side,Manhattan,Manhattan
3/11/2019 17:47,3/11/2019 18:06,1,2.3,13,3.45,0,20.75,yellow,credit card,Midtown Center,Greenwich Village South,Manhattan,Manhattan
3/16/2019 13:45,3/16/2019 14:38,2,20.73,52,13.82,0,69.12,yellow,credit card,JFK Airport,TriBeCa/Civic Center,Queens,Manhattan
3/22/2019 10:18,3/22/2019 10:48,2,6.7,25.5,5.75,0,34.55,yellow,credit card,Midtown East,Battery Park City,Manhattan,Manhattan
3/14/2019 0:01,3/14/2019 0:20,1,3.6,15,3.75,0,22.55,yellow,credit card,Midtown North,Little Italy/NoLiTa,Manhattan,Manhattan
3/27/2019 10:00,3/27/2019 10:10,4,0.7,7.5,2.15,0,12.95,yellow,credit card,Clinton East,Clinton East,Manhattan,Manhattan
3/2/2019 14:49,3/2/2019 14:54,1,1.02,5.5,0,0,8.8,yellow,cash,Midtown East,Upper East Side North,Manhattan,Manhattan
3/10/2019 18:16,3/10/2019 18:25,1,1.81,8.5,1.77,0,13.57,yellow,credit card,Lincoln Square East,Upper East Side South,Manhattan,Manhattan
3/28/2019 18:47,3/28/2019 18:53,3,1.06,6.5,1.08,0,11.88,yellow,credit card,Times Sq/Theatre District,Lincoln Square East,Manhattan,Manhattan
3/14/2019 20:32,3/14/2019 20:48,1,2.48,12,3.16,0,18.96,yellow,credit card,Midtown South,Upper East Side South,Manhattan,Manhattan
3/4/2019 9:09,3/4/2019 9:20,1,1.43,8.5,2.95,0,14.75,yellow,credit card,Upper West Side North,Morningside Heights,Manhattan,Manhattan
3/11/2019 9:07,3/11/2019 9:28,1,2.3,14,2.6,0,19.9,yellow,credit card,Lenox Hill East,Times Sq/Theatre District,Manhattan,Manhattan
3/29/2019 22:32,3/29/2019 23:08,1,7.29,29.5,0,0,33.3,yellow,credit card,Flatiron,Bushwick South,Manhattan,Brooklyn
3/25/2019 9:54,3/25/2019 10:04,2,1.53,7.5,2.16,0,12.96,yellow,credit card,Upper West Side South,Clinton West,Manhattan,Manhattan
3/8/2019 9:39,3/8/2019 9:57,1,1.75,12.5,3.95,0,19.75,yellow,credit card,Upper West Side South,Times Sq/Theatre District,Manhattan,Manhattan
3/16/2019 0:44,3/16/2019 0:51,1,0.93,6.5,0,0,10.3,yellow,cash,Midtown South,Clinton East,Manhattan,Manhattan
3/27/2019 18:35,3/27/2019 18:44,6,0.81,7.5,2.36,0,14.16,yellow,credit card,Murray Hill,Garment District,Manhattan,Manhattan
3/18/2019 17:38,3/18/2019 17:45,1,1.3,7.5,0,0,11.8,yellow,cash,Lenox Hill East,Yorkville West,Manhattan,Manhattan
3/7/2019 8:19,3/7/2019 8:41,1,1.9,14.5,3.55,0,21.35,yellow,credit card,Upper West Side South,Central Park,Manhattan,Manhattan
